Id	Hour	Min	Month	Date	Weekday
610	14	7	7	22	5
611	14	7	7	22	5
612	14	7	7	22	5
613	14	30	7	22	5
614	14	30	7	22	5
615	14	30	7	22	5
616	14	31	7	22	5
617	14	31	7	22	5
618	14	31	7	22	5
619	14	34	7	22	5
620	14	34	7	22	5
621	14	34	7	22	5
622	14	43	7	22	5
623	14	43	7	22	5
624	14	43	7	22	5
625	14	44	7	22	5
626	14	44	7	22	5
627	14	44	7	22	5
628	14	49	7	22	5
629	14	49	7	22	5
630	14	49	7	22	5
631	14	49	7	22	5
632	14	49	7	22	5
633	14	49	7	22	5
634	14	58	7	22	5
635	14	58	7	22	5
636	14	58	7	22	5
637	14	58	7	22	5
638	14	58	7	22	5
639	16	30	7	22	5
640	16	30	7	22	5
641	16	30	7	22	5
642	16	30	7	22	5
643	16	30	7	22	5
644	16	49	7	22	5
645	16	49	7	22	5
646	16	49	7	22	5
647	16	49	7	22	5
648	16	49	7	22	5
649	16	55	7	22	5
650	16	55	7	22	5
651	16	55	7	22	5
652	16	55	7	22	5
653	16	55	7	22	5
654	17	27	7	22	5
655	17	27	7	22	5
656	17	27	7	22	5
657	17	27	7	22	5
658	17	27	7	22	5
659	17	38	7	22	5
660	17	39	7	22	5
661	17	39	7	22	5
662	20	54	7	22	5
663	20	54	7	22	5
664	20	54	7	22	5
665	20	54	7	22	5
666	20	54	7	22	5
667	21	54	7	22	5
668	21	54	7	22	5
669	21	54	7	22	5
670	12	13	7	23	6
671	12	13	7	23	6
672	12	13	7	23	6
673	12	13	7	23	6
674	12	13	7	23	6
675	14	32	7	23	6
676	14	32	7	23	6
677	14	32	7	23	6
678	14	32	7	23	6
679	14	32	7	23	6
680	14	32	7	23	6
681	14	32	7	23	6
